Human.Gene,Uniprot ID,Protein Name,Protein Description,Bulk_avg_abundance,Vessel_avg_abundance,Differentially expressed?,logFC (Vessel vs. Bulk),P.Value (Vessel vs. Bulk),adj.P.Value (Vessel vs. Bulk)
SLC39A10,Q9ULF5,S39AA_HUMAN,Zinc transporter ZIP10,2292355.528,2166903.462,Not differentially expressed,-0.275,0.620278683,0.916
PFDN4,Q9NQP4,PFD4_HUMAN,Prefoldin subunit 4,1505117.133,1236651.148,Not differentially expressed,-0.275,0.624649015,0.916
GMPR,P36959,GMPR1_HUMAN,GMP reductase 1,947536.371,775234.4853,Not differentially expressed,-0.275,0.673879032,0.918
LGALS3,P17931,LEG3_HUMAN,Galectin-3,6132575.664,5988119.575,Not differentially expressed,-0.276,0.598188787,0.915
EFNB1,P98172,EFNB1_HUMAN,Ephrin-B1,735718.9732,600961.1339,Not differentially expressed,-0.277,0.496859014,0.91
SRI,P30626,SORCN_HUMAN,Sorcin,32558150.44,25504709.43,Not differentially expressed,-0.277,0.531229721,0.912
HERC2,O95714,HERC2_HUMAN,E3 ubiquitin-protein ligase HERC2,391405.4278,321619.0589,Not differentially expressed,-0.277,0.667058588,0.918
SMARCA2,P51531,SMCA2_HUMAN,Probable global transcription activator SNF2L2,1189100.339,1686295.387,Not differentially expressed,-0.277,0.72694846,0.92
KIAA0319L,Q8IZA0,K319L_HUMAN,Dyslexia-associated protein KIAA0319-like protein,706131.2348,584082.6719,Not differentially expressed,-0.278,0.502247365,0.911
ANXA7,P20073,ANXA7_HUMAN,Annexin A7,12921184.95,11750538.96,Not differentially expressed,-0.279,0.542333493,0.912
NONO,Q15233,NONO_HUMAN,Non-POU domain-containing octamer-binding protein,5897445.357,5683618.009,Not differentially expressed,-0.279,0.581789959,0.914
IDE,P14735,IDE_HUMAN,Insulin-degrading enzyme,2384904.246,2935537.347,Not differentially expressed,-0.279,0.683035741,0.918
FHIP2A,Q5W0V3,FHI2A_HUMAN,FHF complex subunit HOOK interacting protein 2A,912658.4667,671993.2193,Not differentially expressed,-0.28,0.645780173,0.917
TLE4,Q04727,TLE4_HUMAN,Transducin-like enhancer protein 4,981065.2387,868186.1994,Not differentially expressed,-0.281,0.548457871,0.913
ALG13,Q9NP73,ALG13_HUMAN,Putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13,532839.654,471935.922,Not differentially expressed,-0.281,0.587572235,0.914
IPO11,Q9UI26,IPO11_HUMAN,Importin-11,359609.6657,232758.2942,Not differentially expressed,-0.281,0.774970696,0.921
ATP5ME,P56385,ATP5I_HUMAN,"ATP synthase subunit e, mitochondrial",1841122.351,1253702.885,Not differentially expressed,-0.282,0.722575227,0.92
RPTOR,Q8N122,RPTOR_HUMAN,Regulatory-associated protein of mTOR,1665556.188,1409611.129,Not differentially expressed,-0.283,0.567240638,0.914
SAA4,P35542,SAA4_HUMAN,Serum amyloid A-4 protein,639529.9064,458165.7582,Not differentially expressed,-0.284,0.654964511,0.917
TUBB,P07437,TBB5_HUMAN,Tubulin beta chain,20033626.55,17101801.06,Not differentially expressed,-0.285,0.50872913,0.911
NFKB1,P19838,NFKB1_HUMAN,Nuclear factor NF-kappa-B p105 subunit,1149890.714,954567.23,Not differentially expressed,-0.285,0.562675414,0.913
VAPA,Q9P0L0,VAPA_HUMAN,Vesicle-associated membrane protein-associated protein A,51276584.17,46771562.82,Not differentially expressed,-0.285,0.565969539,0.914
PUF60,Q9UHX1,PUF60_HUMAN,Poly(U)-binding-splicing factor PUF60,3822259.943,4856644.586,Not differentially expressed,-0.285,0.692792793,0.919
CERS1,P27544,CERS1_HUMAN,Ceramide synthase 1,1199957.254,1110024.57,Not differentially expressed,-0.286,0.621244858,0.916
SEPTIN2,Q15019,SEPT2_HUMAN,Septin-2,32653625.32,30187367.1,Not differentially expressed,-0.288,0.553254431,0.913
WDTC1,Q8N5D0,WDTC1_HUMAN,WD and tetratricopeptide repeats protein 1,318803.0859,242971.1707,Not differentially expressed,-0.288,0.711367494,0.919
GPC4,O75487,GPC4_HUMAN,Glypican-4,1041780.241,836805.2902,Not differentially expressed,-0.289,0.505580514,0.911
NDUFAF3,Q9BU61,NDUF3_HUMAN,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3,1864290.319,1433598.412,Not differentially expressed,-0.29,0.585404631,0.914
RALGAPB,Q86X10,RLGPB_HUMAN,Ral GTPase-activating protein subunit beta,1051750.422,864354.0553,Not differentially expressed,-0.29,0.606507791,0.915
TUSC3,Q13454,TUSC3_HUMAN,Tumor suppressor candidate 3,1009586.643,725313.3395,Not differentially expressed,-0.291,0.634698548,0.916
MYO1F,O00160,MYO1F_HUMAN,Unconventional myosin-If,300500.0327,301446.7529,Not differentially expressed,-0.291,0.69569843,0.919
ELP5,Q8TE02,ELP5_HUMAN,Elongator complex protein 5,456841.0137,306555.1287,Not differentially expressed,-0.291,0.757552566,0.921
FCHSD2,O94868,FCSD2_HUMAN,F-BAR and double SH3 domains protein 2,419475.4304,332832.5914,Not differentially expressed,-0.292,0.604295413,0.915
CFI,P05156,CFAI_HUMAN,Complement factor I,549531.4688,397880.039,Not differentially expressed,-0.292,0.629441334,0.916
BCKDHB,P21953,ODBB_HUMAN,"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial",3156592.112,2944673.902,Not differentially expressed,-0.293,0.579883334,0.914
CCDC50,Q8IVM0,CCD50_HUMAN,Coiled-coil domain-containing protein 50,1523431.455,1127582.401,Not differentially expressed,-0.293,0.599405609,0.915
GEMIN5,Q8TEQ6,GEMI5_HUMAN,Gem-associated protein 5,864328.8358,742321.4989,Not differentially expressed,-0.294,0.520679982,0.911
NDUFA10,O95299,NDUAA_HUMAN,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",15519939.55,12570685.72,Not differentially expressed,-0.294,0.623231804,0.916
SIRT3,Q9NTG7,SIR3_HUMAN,"NAD-dependent protein deacetylase sirtuin-3, mitochondrial",1173842.161,976791.8502,Not differentially expressed,-0.295,0.54046331,0.912
UBXN6,Q9BZV1,UBXN6_HUMAN,UBX domain-containing protein 6,797719.3956,641398.7985,Not differentially expressed,-0.295,0.618470447,0.916
UTP15,Q8TED0,UTP15_HUMAN,U3 small nucleolar RNA-associated protein 15 homolog,785486.0958,677802.8123,Not differentially expressed,-0.295,0.65049775,0.917
RAB18,Q9NP72,RAB18_HUMAN,Ras-related protein Rab-18,8018694.418,6914858.185,Not differentially expressed,-0.296,0.494650964,0.91
LARP1,Q6PKG0,LARP1_HUMAN,La-related protein 1,1484832.092,1266878.376,Not differentially expressed,-0.296,0.518450313,0.911
IMMT,Q16891,MIC60_HUMAN,MICOS complex subunit MIC60,56756724.96,50082884.87,Not differentially expressed,-0.297,0.540829718,0.912
COX20,Q5RI15,COX20_HUMAN,"Cytochrome c oxidase assembly protein COX20, mitochondrial",1005325.205,931916.4521,Not differentially expressed,-0.297,0.63374136,0.916
LAMP2,P13473,LAMP2_HUMAN,Lysosome-associated membrane glycoprotein 2,50928117.14,41219204.78,Not differentially expressed,-0.297,0.64476993,0.917
GPKOW,Q92917,GPKOW_HUMAN,G-patch domain and KOW motifs-containing protein,505316.2702,423040.4696,Not differentially expressed,-0.298,0.507049088,0.911
SLC30A9,Q6PML9,ZNT9_HUMAN,"Proton-coupled zinc antiporter SLC30A9, mitochondrial",2973861.485,2641229.385,Not differentially expressed,-0.298,0.6104036,0.915
RALA,P11233,RALA_HUMAN,Ras-related protein Ral-A,27134186.67,23699829.11,Not differentially expressed,-0.3,0.489251663,0.91
RCN2,Q14257,RCN2_HUMAN,Reticulocalbin-2,1297828.605,1021892.344,Not differentially expressed,-0.301,0.520168753,0.911
GAK,O14976,GAK_HUMAN,Cyclin-G-associated kinase,1412017.784,1401204.685,Not differentially expressed,-0.301,0.621340576,0.916
RAPGEF4,Q8WZA2,RPGF4_HUMAN,Rap guanine nucleotide exchange factor 4,281563.6912,223775.9776,Not differentially expressed,-0.301,0.679780979,0.918
HNRNPF,P52597,HNRPF_HUMAN,Heterogeneous nuclear ribonucleoprotein F,2867641.234,3529801.31,Not differentially expressed,-0.301,0.703166258,0.919
SLC25A19,Q9HC21,TPC_HUMAN,Mitochondrial thiamine pyrophosphate carrier,819790.9952,679321.4734,Not differentially expressed,-0.302,0.56096952,0.913
GADD45GIP1,Q8TAE8,G45IP_HUMAN,Large ribosomal subunit protein mL64,438099.8716,351112.8886,Not differentially expressed,-0.302,0.588949482,0.914
METTL14,Q9HCE5,MET14_HUMAN,N6-adenosine-methyltransferase non-catalytic subunit,488183.0748,365712.2911,Not differentially expressed,-0.302,0.701323097,0.919
RNF213,Q63HN8,RN213_HUMAN,E3 ubiquitin-protein ligase RNF213,335323.2369,300774.208,Not differentially expressed,-0.304,0.587859752,0.914
CLSTN2,Q9H4D0,CSTN2_HUMAN,Calsyntenin-2,335219.1338,269492.1803,Not differentially expressed,-0.304,0.668845945,0.918
CPT1C,Q8TCG5,CPT1C_HUMAN,Palmitoyl thioesterase CPT1C,1377911.858,973429.2192,Not differentially expressed,-0.305,0.656771494,0.917
ZFYVE27,Q5T4F4,ZFY27_HUMAN,Protrudin,836946.4324,641745.7197,Not differentially expressed,-0.306,0.517439807,0.911
ZZEF1,O43149,ZZEF1_HUMAN,Zinc finger ZZ-type and EF-hand domain-containing protein 1,1593030.871,1341853.359,Not differentially expressed,-0.307,0.498058351,0.91
SCCPDH,Q8NBX0,SCPDL_HUMAN,Saccharopine dehydrogenase-like oxidoreductase,18501815.79,16153945.42,Not differentially expressed,-0.307,0.50103281,0.91
HEG1,Q9ULI3,HEG1_HUMAN,Protein HEG homolog 1,2317793.856,1032878.185,Not differentially expressed,-0.307,0.758445123,0.921
DCAF8,Q5TAQ9,DCAF8_HUMAN,DDB1- and CUL4-associated factor 8,482189.8938,409600.6526,Not differentially expressed,-0.308,0.490717486,0.91
SLTM,Q9NWH9,SLTM_HUMAN,SAFB-like transcription modulator,776628.6469,678595.1811,Not differentially expressed,-0.308,0.522399084,0.911
IGKC,P01834,IGKC_HUMAN,Immunoglobulin kappa constant,25378948.12,23567289.74,Not differentially expressed,-0.309,0.648562961,0.917
RPL17,P18621,RL17_HUMAN,Large ribosomal subunit protein uL22,7219151.785,6232277.329,Not differentially expressed,-0.31,0.602043341,0.915
CACNA1C,Q13936,CAC1C_HUMAN,Voltage-dependent L-type calcium channel subunit alpha-1C,466639.7761,423845.9838,Not differentially expressed,-0.31,0.617323636,0.916
KBTBD6,Q86V97,KBTB6_HUMAN,Kelch repeat and BTB domain-containing protein 6,629381.7153,472349.2126,Not differentially expressed,-0.311,0.545838855,0.913
CDKL5,O76039,CDKL5_HUMAN,Cyclin-dependent kinase-like 5,299107.8763,249630.7752,Not differentially expressed,-0.312,0.563748046,0.913
NPR2,P20594,ANPRB_HUMAN,Atrial natriuretic peptide receptor 2,918260.5829,1043413.42,Not differentially expressed,-0.312,0.730612991,0.92
SCRIB,Q14160,SCRIB_HUMAN,Protein scribble homolog,881718.1306,743885.1549,Not differentially expressed,-0.313,0.513141885,0.911
NTRK3,Q16288,NTRK3_HUMAN,NT-3 growth factor receptor,887823.1453,733367.1514,Not differentially expressed,-0.314,0.504304458,0.911
MTHFR,P42898,MTHR_HUMAN,Methylenetetrahydrofolate reductase (NADPH),493414.0919,374482.2493,Not differentially expressed,-0.314,0.540173785,0.912
ACOX1,Q15067,ACOX1_HUMAN,Peroxisomal acyl-coenzyme A oxidase 1,2843406.828,2574654.092,Not differentially expressed,-0.314,0.571316634,0.914
IRF3,Q14653,IRF3_HUMAN,Interferon regulatory factor 3,937051.1725,748006.7144,Not differentially expressed,-0.315,0.509696239,0.911
SRGAP1,Q7Z6B7,SRGP1_HUMAN,SLIT-ROBO Rho GTPase-activating protein 1,371158.8259,293802.1384,Not differentially expressed,-0.315,0.635478028,0.916
CUTC,Q9NTM9,CUTC_HUMAN,Copper homeostasis protein cutC homolog,1497980.948,1251163.992,Not differentially expressed,-0.316,0.467782426,0.909
CD53,P19397,CD53_HUMAN,Leukocyte surface antigen CD53,1242484.505,1115602.364,Not differentially expressed,-0.316,0.541310752,0.912
NFRKB,Q6P4R8,NFRKB_HUMAN,Nuclear factor related to kappa-B-binding protein,500882.2346,394048.4223,Not differentially expressed,-0.316,0.551090491,0.913
CCDC177,Q9NQR7,CC177_HUMAN,Coiled-coil domain-containing protein 177,1048931.085,813027.7339,Not differentially expressed,-0.316,0.654172098,0.917
BCL11A,Q9H165,BC11A_HUMAN,B-cell lymphoma/leukemia 11A,386134.7292,289173.5274,Not differentially expressed,-0.316,0.717789162,0.919
DDX39B,Q13838,DX39B_HUMAN,Spliceosome RNA helicase DDX39B,8430268.112,7208841.462,Not differentially expressed,-0.318,0.490018083,0.91
NEU1,Q99519,NEUR1_HUMAN,Sialidase-1,341991.6452,295564.0757,Not differentially expressed,-0.318,0.494114407,0.91
ENDOG,Q14249,NUCG_HUMAN,"Endonuclease G, mitochondrial",870837.9264,757970.7284,Not differentially expressed,-0.318,0.603047658,0.915
VARS2,Q5ST30,SYVM_HUMAN,"Valine--tRNA ligase, mitochondrial",563763.3871,412446.6006,Not differentially expressed,-0.318,0.617240855,0.916
SLC25A28,Q96A46,MFRN2_HUMAN,Mitoferrin-2,239105.6296,191570.0492,Not differentially expressed,-0.318,0.688525561,0.918
LTN1,O94822,LTN1_HUMAN,E3 ubiquitin-protein ligase listerin,612552.3666,495622.7796,Not differentially expressed,-0.319,0.518663802,0.911
DEPDC5,O75140,DEPD5_HUMAN,GATOR1 complex protein DEPDC5,511074.5105,396133.0267,Not differentially expressed,-0.319,0.670682895,0.918
ARMC1,Q9NVT9,ARMC1_HUMAN,Armadillo repeat-containing protein 1,1859793.616,1654229.153,Not differentially expressed,-0.32,0.587998619,0.914
GOPC,Q9HD26,GOPC_HUMAN,Golgi-associated PDZ and coiled-coil motif-containing protein,327928.6629,235884.642,Not differentially expressed,-0.32,0.672879618,0.918
MAN2A2,P49641,MA2A2_HUMAN,Alpha-mannosidase 2x,908684.471,1005011.789,Not differentially expressed,-0.321,0.629952062,0.916
TSC1,Q92574,TSC1_HUMAN,Hamartin,320944.6306,222161.0098,Not differentially expressed,-0.322,0.630476031,0.916
GFAP,P14136,GFAP_HUMAN,Glial fibrillary acidic protein,77718234.88,50840028.38,Not differentially expressed,-0.323,0.710274493,0.919
LGALS3BP,Q08380,LG3BP_HUMAN,Galectin-3-binding protein,25871363.32,19820469.39,Not differentially expressed,-0.324,0.514799744,0.911
MLF2,Q15773,MLF2_HUMAN,Myeloid leukemia factor 2,1532894.617,1336901.132,Not differentially expressed,-0.324,0.579171349,0.914
REL,Q04864,REL_HUMAN,Proto-oncogene c-Rel,181819.3537,144622.3839,Not differentially expressed,-0.324,0.61500161,0.915
IGHA1,P01876,IGHA1_HUMAN,Immunoglobulin heavy constant alpha 1,9768429.869,11847562.63,Not differentially expressed,-0.324,0.689736809,0.918
ARAP1,Q96P48,ARAP1_HUMAN,"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1",809734.4305,658762.8475,Not differentially expressed,-0.325,0.543638983,0.912
MRPS15,P82914,RT15_HUMAN,Small ribosomal subunit protein uS15m,718414.9619,506426.0557,Not differentially expressed,-0.325,0.58052054,0.914
FABP5,Q01469,FABP5_HUMAN,Fatty acid-binding protein 5,22429733.17,78313858.29,Not differentially expressed,-0.325,0.771763359,0.921
TUT7,Q5VYS8,TUT7_HUMAN,Terminal uridylyltransferase 7,134662.6721,107463.5684,Not differentially expressed,-0.327,0.680901389,0.918
CCDC22,O60826,CCD22_HUMAN,Coiled-coil domain-containing protein 22,1976612.709,1668649.51,Not differentially expressed,-0.329,0.514351428,0.911
UNC5B,Q8IZJ1,UNC5B_HUMAN,Netrin receptor UNC5B,960038.9913,799810.9357,Not differentially expressed,-0.33,0.459613842,0.908
RAB4B,P61018,RAB4B_HUMAN,Ras-related protein Rab-4B,4146507.712,3239534.418,Not differentially expressed,-0.331,0.423931824,0.906
CNNM4,Q6P4Q7,CNNM4_HUMAN,Metal transporter CNNM4,579955.1971,461817.0745,Not differentially expressed,-0.331,0.529292701,0.912
UBR2,Q8IWV8,UBR2_HUMAN,E3 ubiquitin-protein ligase UBR2,338987.9917,256595.6203,Not differentially expressed,-0.331,0.665819259,0.917
FADS2,O95864,FADS2_HUMAN,Acyl-CoA 6-desaturase,346021.0803,275781.8284,Not differentially expressed,-0.332,0.537589675,0.912
MESD,Q14696,MESD_HUMAN,LRP chaperone MESD,8867823.167,8154776.223,Not differentially expressed,-0.332,0.547510073,0.913
ATL2,Q8NHH9,ATLA2_HUMAN,Atlastin-2,2157005.817,1869029.355,Not differentially expressed,-0.332,0.553131045,0.913
LSM8,O95777,LSM8_HUMAN,U6 snRNA-associated Sm-like protein LSm8,378116.1096,219836.6764,Not differentially expressed,-0.333,0.777529715,0.921
RAB9B,Q9NP90,RAB9B_HUMAN,Ras-related protein Rab-9B,331807.3185,249414.3149,Not differentially expressed,-0.334,0.647538336,0.917
DTNA,Q9Y4J8,DTNA_HUMAN,Dystrobrevin alpha,2314669.848,1842325.01,Not differentially expressed,-0.335,0.467316596,0.909
ITIH1,P19827,ITIH1_HUMAN,Inter-alpha-trypsin inhibitor heavy chain H1,1037641.804,857108.0818,Not differentially expressed,-0.336,0.473893318,0.909
FDPS,P14324,FPPS_HUMAN,Farnesyl pyrophosphate synthase,3904327.088,2467087.909,Not differentially expressed,-0.336,0.616985533,0.916
SPTLC3,Q9NUV7,SPTC3_HUMAN,Serine palmitoyltransferase 3,1514478.3,1178176.042,Not differentially expressed,-0.336,0.679742163,0.918
ZC3H4,Q9UPT8,ZC3H4_HUMAN,Zinc finger CCCH domain-containing protein 4,302684.8692,231593.4525,Not differentially expressed,-0.337,0.481339958,0.909
SPTAN1,Q13813,SPTN1_HUMAN,"Spectrin alpha chain, non-erythrocytic 1",98460892.2,81471074.83,Not differentially expressed,-0.337,0.492521523,0.91
CYP46A1,Q9Y6A2,CP46A_HUMAN,Cholesterol 24-hydroxylase,302472.6663,227956.2787,Not differentially expressed,-0.337,0.607725875,0.915
EIF3B,P55884,EIF3B_HUMAN,Eukaryotic translation initiation factor 3 subunit B,12548681.02,11564003.68,Not differentially expressed,-0.338,0.530869211,0.912
FIG4,Q92562,FIG4_HUMAN,Polyphosphoinositide phosphatase,789311.3872,636330.4415,Not differentially expressed,-0.339,0.47858796,0.909
GET3,O43681,GET3_HUMAN,ATPase GET3,10219538.32,8124116.502,Not differentially expressed,-0.34,0.467840909,0.909
PPBP,P02775,CXCL7_HUMAN,Platelet basic protein,496672.2815,561930.4169,Not differentially expressed,-0.34,0.77178729,0.921
TMEM175,Q9BSA9,TM175_HUMAN,Endosomal/lysosomal proton channel TMEM175,405520.2207,473436.4557,Not differentially expressed,-0.34,0.773437288,0.921
SPTBN1,Q01082,SPTB2_HUMAN,"Spectrin beta chain, non-erythrocytic 1",146817451.6,135206953.8,Not differentially expressed,-0.341,0.509256837,0.911
FBXO27,Q8NI29,FBX27_HUMAN,F-box only protein 27,634720.1508,487047.7094,Not differentially expressed,-0.341,0.62309228,0.916
NEU2,Q9Y3R4,NEUR2_HUMAN,Sialidase-2,535930.1141,537698.6215,Not differentially expressed,-0.341,0.672183292,0.918
VCPIP1,Q96JH7,VCIP1_HUMAN,Deubiquitinating protein VCPIP1,373552.6351,285080.6505,Not differentially expressed,-0.342,0.505759736,0.911
PBX1,P40424,PBX1_HUMAN,Pre-B-cell leukemia transcription factor 1,171308.2642,143211.0437,Not differentially expressed,-0.342,0.554561236,0.913
FDFT1,P37268,FDFT_HUMAN,Squalene synthase,883246.729,704094.8133,Not differentially expressed,-0.345,0.631288151,0.916
TBC1D9B,Q66K14,TBC9B_HUMAN,TBC1 domain family member 9B,1033130.578,826050.4506,Not differentially expressed,-0.346,0.480964224,0.909
KALRN,O60229,KALRN_HUMAN,Kalirin,329358.092,299909.445,Not differentially expressed,-0.346,0.700212672,0.919
CELF1,Q92879,CELF1_HUMAN,CUGBP Elav-like family member 1,872370.6309,864547.0229,Not differentially expressed,-0.347,0.616521401,0.916
MDH2,P40926,MDHM_HUMAN,"Malate dehydrogenase, mitochondrial",347826025.5,279253770.3,Not differentially expressed,-0.348,0.465043616,0.909
MRPL46,Q9H2W6,RM46_HUMAN,Large ribosomal subunit protein mL46,759317.4005,624614.1516,Not differentially expressed,-0.349,0.472792179,0.909
RCSD1,Q6JBY9,CPZIP_HUMAN,CapZ-interacting protein,1356324.778,1110224.428,Not differentially expressed,-0.35,0.458419486,0.908
RPL32,P62910,RL32_HUMAN,Large ribosomal subunit protein eL32,1779684.749,1527154.023,Not differentially expressed,-0.35,0.662700913,0.917
TAMM41,Q96BW9,TAM41_HUMAN,"Phosphatidate cytidylyltransferase, mitochondrial",2154326.431,1933502.554,Not differentially expressed,-0.351,0.548075891,0.913
PKN1,Q16512,PKN1_HUMAN,Serine/threonine-protein kinase N1,547775.865,458332.9178,Not differentially expressed,-0.352,0.442740405,0.907
PURB,Q96QR8,PURB_HUMAN,Transcriptional activator protein Pur-beta,5693864.634,4532768.249,Not differentially expressed,-0.352,0.476042842,0.909
HMGB2,P26583,HMGB2_HUMAN,High mobility group protein B2,3944973.55,3156016.851,Not differentially expressed,-0.352,0.492866545,0.91
PUSL1,Q8N0Z8,PUSL1_HUMAN,tRNA pseudouridine synthase-like 1,349453.4985,278373.1683,Not differentially expressed,-0.353,0.524577389,0.911
CD33,P20138,CD33_HUMAN,Myeloid cell surface antigen CD33,236033.6491,150003.8653,Not differentially expressed,-0.353,0.626649197,0.916
LRRC8A,Q8IWT6,LRC8A_HUMAN,Volume-regulated anion channel subunit LRRC8A,3228287.69,3202854.861,Not differentially expressed,-0.354,0.534949144,0.912
EHBP1,Q8NDI1,EHBP1_HUMAN,EH domain-binding protein 1,690600.9142,562988.9485,Not differentially expressed,-0.355,0.494516395,0.91
ARID1A,O14497,ARI1A_HUMAN,AT-rich interactive domain-containing protein 1A,249981.9943,194974.5412,Not differentially expressed,-0.355,0.580615559,0.914
NEBL,O76041,NEBL_HUMAN,Nebulette,3510926.794,3382051.485,Not differentially expressed,-0.356,0.547768665,0.913
GNB1,P62873,GBB1_HUMAN,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1,445987189.7,374848116.7,Not differentially expressed,-0.357,0.409889287,0.905
XPO7,Q9UIA9,XPO7_HUMAN,Exportin-7,2929878.477,2278513.971,Not differentially expressed,-0.357,0.47285724,0.909
GDAP1,Q8TB36,GDAP1_HUMAN,Ganglioside-induced differentiation-associated protein 1,7656185.363,4232393.049,Not differentially expressed,-0.357,0.59971206,0.915
DNAJA1,P31689,DNJA1_HUMAN,DnaJ homolog subfamily A member 1,7654844.437,6368307.414,Not differentially expressed,-0.358,0.395416227,0.904
PRKACA,P17612,KAPCA_HUMAN,cAMP-dependent protein kinase catalytic subunit alpha,16427746.58,14261731.94,Not differentially expressed,-0.358,0.480153378,0.909
CMIP,Q8IY22,CMIP_HUMAN,C-Maf-inducing protein,412937.9849,306895.6101,Not differentially expressed,-0.358,0.509933274,0.911
DAGLB,Q8NCG7,DGLB_HUMAN,Diacylglycerol lipase-beta,1059891.809,1006689.749,Not differentially expressed,-0.358,0.512863631,0.911
CAPN7,Q9Y6W3,CAN7_HUMAN,Calpain-7,272615.168,167222.6198,Not differentially expressed,-0.36,0.733124228,0.92
EIF3A,Q14152,EIF3A_HUMAN,Eukaryotic translation initiation factor 3 subunit A,5286918.443,5416969.551,Not differentially expressed,-0.361,0.583113962,0.914
GPD2,P43304,GPDM_HUMAN,"Glycerol-3-phosphate dehydrogenase, mitochondrial",13631023.41,11641826.93,Not differentially expressed,-0.363,0.477276187,0.909
C1QBP,Q07021,C1QBP_HUMAN,"Complement component 1 Q subcomponent-binding protein, mitochondrial",28344147.83,22928918.6,Not differentially expressed,-0.364,0.361066543,0.902
CBLL1,Q75N03,HAKAI_HUMAN,E3 ubiquitin-protein ligase Hakai,214653.6299,170849.1706,Not differentially expressed,-0.364,0.390021635,0.904
PPTC7,Q8NI37,PPTC7_HUMAN,Protein phosphatase PTC7 homolog,839468.4451,659885.9308,Not differentially expressed,-0.364,0.395266973,0.904
YWHAH,Q04917,1433F_HUMAN,14-3-3 protein eta,17530742.09,11027811.2,Not differentially expressed,-0.365,0.497588644,0.91
VPS26A,O75436,VP26A_HUMAN,Vacuolar protein sorting-associated protein 26A,12652080.2,10489318.79,Not differentially expressed,-0.366,0.418154946,0.906
SASH1,O94885,SASH1_HUMAN,SAM and SH3 domain-containing protein 1,508340.4086,399187.2292,Not differentially expressed,-0.367,0.439809687,0.907
EML6,Q6ZMW3,EMAL6_HUMAN,Echinoderm microtubule-associated protein-like 6,2014146.569,1015111.998,Not differentially expressed,-0.367,0.747278879,0.92
PLXNA2,O75051,PLXA2_HUMAN,Plexin-A2,2546589.012,1943117.536,Not differentially expressed,-0.368,0.41366877,0.906
SUCLG1,P53597,SUCA_HUMAN,"Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial",47327891.84,42999011.45,Not differentially expressed,-0.37,0.482664186,0.91
CGREF1,Q99674,CGRE1_HUMAN,Cell growth regulator with EF hand domain protein 1,133122.4865,95704.43269,Not differentially expressed,-0.37,0.636573837,0.916
XRCC4,Q13426,XRCC4_HUMAN,DNA repair protein XRCC4,425648.519,329240.5765,Not differentially expressed,-0.374,0.45140257,0.908
CORO7,P57737,CORO7_HUMAN,Coronin-7,1288595.616,831940.3687,Not differentially expressed,-0.374,0.58442051,0.914
COBL,O75128,COBL_HUMAN,Protein cordon-bleu,585984.6852,446366.0557,Not differentially expressed,-0.375,0.379194387,0.903
VPS13A,Q96RL7,VP13A_HUMAN,Intermembrane lipid transfer protein VPS13A,3561515.982,2781772.115,Not differentially expressed,-0.375,0.424700804,0.906
TMEM63B,Q5T3F8,CSCL2_HUMAN,CSC1-like protein 2,1016311.909,802289.4932,Not differentially expressed,-0.375,0.447656372,0.908
LSM6,P62312,LSM6_HUMAN,U6 snRNA-associated Sm-like protein LSm6,862954.271,715800.9528,Not differentially expressed,-0.375,0.486144916,0.91
CHMP1B,Q7LBR1,CHM1B_HUMAN,Charged multivesicular body protein 1b,1316279.199,902269.5963,Not differentially expressed,-0.376,0.494946673,0.91
PSMA1,P25786,PSA1_HUMAN,Proteasome subunit alpha type-1,7358902.099,5927516.823,Not differentially expressed,-0.377,0.412740302,0.906
CAPN5,O15484,CAN5_HUMAN,Calpain-5,1474081.631,1150113.184,Not differentially expressed,-0.377,0.475734832,0.909
PRKRA,O75569,PRKRA_HUMAN,Interferon-inducible double-stranded RNA-dependent protein kinase activator A,4646770.771,3620973.778,Not differentially expressed,-0.378,0.334824723,0.9
DNM2,P50570,DYN2_HUMAN,Dynamin-2,17535660.07,13287444.11,Not differentially expressed,-0.378,0.40243869,0.905
FZD1,Q9UP38,FZD1_HUMAN,Frizzled-1,311787.0412,238489.8737,Not differentially expressed,-0.378,0.63738507,0.916
ALYREF,Q86V81,THOC4_HUMAN,THO complex subunit 4,8718567.402,6769755.84,Not differentially expressed,-0.379,0.421709467,0.906
ITIH4,Q14624,ITIH4_HUMAN,Inter-alpha-trypsin inhibitor heavy chain H4,1868969.156,1575541.87,Not differentially expressed,-0.379,0.598652129,0.915
HSD17B8,Q92506,DHB8_HUMAN,(3R)-3-hydroxyacyl-CoA dehydrogenase,2585150.896,2554882.546,Not differentially expressed,-0.38,0.545818846,0.913
ETFDH,Q16134,ETFD_HUMAN,"Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial",5321458.751,4710208.095,Not differentially expressed,-0.381,0.464532645,0.909
